"","Datum (svensk sommartid)","Vattenföring","Kvalitet"
"1","1910-01-01",70,"G"
"2","1910-01-02",70,"G"
"3","1910-01-03",70,"G"
"4","1910-01-04",69,"G"
"5","1910-01-05",69,"G"
"6","1910-01-06",69,"G"
"7","1910-01-07",69,"G"
"8","1910-01-08",68,"G"
"9","1910-01-09",68,"G"
"10","1910-01-10",68,"G"
"11","1910-01-11",68,"G"
"12","1910-01-12",68,"G"
"13","1910-01-13",67,"G"
"14","1910-01-14",67,"G"
"15","1910-01-15",67,"G"
"16","1910-01-16",67,"G"
"17","1910-01-17",67,"G"
"18","1910-01-18",66,"G"
"19","1910-01-19",66,"G"
"20","1910-01-20",66,"G"
"21","1910-01-21",66,"G"
"22","1910-01-22",66,"G"
"23","1910-01-23",65,"G"
"24","1910-01-24",65,"G"
"25","1910-01-25",65,"G"
"26","1910-01-26",65,"G"
"27","1910-01-27",65,"G"
"28","1910-01-28",65,"G"
"29","1910-01-29",64,"G"
"30","1910-01-30",64,"G"
"31","1910-01-31",64,"G"
"32","1910-02-01",64,"G"
"33","1910-02-02",64,"G"
"34","1910-02-03",63,"G"
"35","1910-02-04",63,"G"
"36","1910-02-05",63,"G"
"37","1910-02-06",63,"G"
"38","1910-02-07",63,"G"
"39","1910-02-08",62,"G"
"40","1910-02-09",62,"G"
"41","1910-02-10",62,"G"
"42","1910-02-11",62,"G"
"43","1910-02-12",62,"G"
"44","1910-02-13",61,"G"
"45","1910-02-14",61,"G"
"46","1910-02-15",60,"G"
"47","1910-02-16",60,"G"
"48","1910-02-17",60,"G"
"49","1910-02-18",60,"G"
"50","1910-02-19",60,"G"
"51","1910-02-20",63,"G"
"52","1910-02-21",67,"G"
"53","1910-02-22",71,"G"
"54","1910-02-23",73,"G"
"55","1910-02-24",73,"G"
"56","1910-02-25",73,"G"
"57","1910-02-26",73,"G"
"58","1910-02-27",72,"G"
"59","1910-02-28",72,"G"
"60","1910-03-01",72,"G"
"61","1910-03-02",72,"G"
"62","1910-03-03",71,"G"
"63","1910-03-04",71,"G"
"64","1910-03-05",71,"G"
"65","1910-03-06",71,"G"
"66","1910-03-07",70,"G"
"67","1910-03-08",70,"G"
"68","1910-03-09",70,"G"
"69","1910-03-10",69,"G"
"70","1910-03-11",69,"G"
"71","1910-03-12",69,"G"
"72","1910-03-13",69,"G"
"73","1910-03-14",68,"G"
"74","1910-03-15",68,"G"
"75","1910-03-16",68,"G"
"76","1910-03-17",68,"G"
"77","1910-03-18",68,"G"
"78","1910-03-19",68,"G"
"79","1910-03-20",69,"G"
"80","1910-03-21",69,"G"
"81","1910-03-22",69,"G"
"82","1910-03-23",69,"G"
"83","1910-03-24",69,"G"
"84","1910-03-25",69,"G"
"85","1910-03-26",70,"G"
"86","1910-03-27",71,"G"
"87","1910-03-28",71,"G"
"88","1910-03-29",72,"G"
"89","1910-03-30",73,"G"
"90","1910-03-31",72,"G"
"91","1910-04-01",72,"G"
"92","1910-04-02",74,"G"
"93","1910-04-03",82,"G"
"94","1910-04-04",90,"G"
"95","1910-04-05",100,"G"
"96","1910-04-06",114,"G"
"97","1910-04-07",129,"G"
"98","1910-04-08",132,"G"
"99","1910-04-09",138,"G"
"100","1910-04-10",152,"G"
"101","1910-04-11",138,"G"
"102","1910-04-12",127,"G"
"103","1910-04-13",129,"G"
"104","1910-04-14",152,"G"
"105","1910-04-15",183,"G"
"106","1910-04-16",267,"G"
"107","1910-04-17",386,"G"
"108","1910-04-18",538,"G"
"109","1910-04-19",612,"G"
"110","1910-04-20",660,"G"
"111","1910-04-21",654,"G"
"112","1910-04-22",603,"G"
"113","1910-04-23",500,"G"
"114","1910-04-24",391,"G"
"115","1910-04-25",355,"G"
"116","1910-04-26",323,"G"
"117","1910-04-27",314,"G"
"118","1910-04-28",307,"G"
"119","1910-04-29",282,"G"
